orderId,shouldCurId,movieName,rateValue(x/10),评价人数,短评数量,5星占比,4星占比,3星占比,2星占比,1星占比,description,额外信息
11,35267224,孤注一掷,6.9,566780,226778, 11.9%, 35.3%, 41.5%, 8.4%, 2.9%,"导演: 申奥
主演: 张艺兴 / 金晨 / 咏梅
类型: 剧情 / 犯罪
制片国家/地区: 中国大陆
年份: 2023","38.48"
12,26861685,红海行动,8.2,1049000,289674, 37.6%, 41.5%, 17.4%, 2.5%, 1.0%,"导演: 林超贤
主演: 张译 / 黄景瑜 / 海清
类型: 动作 / 战争
制片国家/地区: 中国大陆/中国香港
年份: 2018","36.52"
13,35660795,消失的她,6.2,907193,371708, 7.3%, 24.5%, 44.1%, 17.0%, 7.1%,"导演: 崔睿 / 刘翔
主演: 朱一龙 / 倪妮 / 文咏珊
类型: 犯罪 / 悬疑
制片国家/地区: 中国大陆
年份: 2022","35.23"
14,26698897,唐人街探案2,6.6,914621,251105, 8.4%, 31.4%, 44.9%, 11.7%, 3.5%,"导演: 陈思诚
主演: 王宝强 / 刘昊然 / 肖央
类型: 喜剧 / 动作 / 悬疑
制片国家/地区: 中国大陆
年份: 2018","33.97"
15,19944106,美人鱼,6.7,831541,234349, 12.6%, 28.8%, 43.0%, 11.9%, 3.7%,"导演: 周星驰
主演: 邓超 / 罗志祥 / 张雨绮
类型: 喜剧 / 爱情 / 奇幻
制片国家/地区: 中国大陆/中国香港
年份: 2016","33.91"
16,32659890,我和我的祖国,7.6,1024034,301247, 20.7%, 44.7%, 29.5%, 3.9%, 1.1%,"导演: 陈凯歌 / 张一白 / 管虎 / 薛晓路 / 徐峥 / 宁浩 / 文牧野
主演: 黄渤 / 张译 / 韩昊霖
类型: 剧情
制片国家/地区: 中国大陆
年份: 2019","31.7"
17,26754233,八佰,7.5,830666,256669, 18.6%, 45.3%, 30.1%, 4.3%, 1.6%,"导演: 管虎
主演: 王千源 / 张译 / 姜武
类型: 剧情 / 历史 / 战争
制片国家/地区: 中国大陆
年份: 2020","31.1"
18,35183042,独行月球,6.6,704655,292543, 9.7%, 29.7%, 44.4%, 12.8%, 3.3%,"导演: 张吃鱼
主演: 沈腾 / 马丽 / 常远
类型: 喜剧 / 科幻
制片国家/地区: 中国大陆
年份: 2022","31"
19,26752088,我不是药神,9,2164506,551196, 58.8%, 33.7%, 6.8%, 0.5%, 0.2%,"导演: 文牧野
主演: 徐峥 / 王传君 / 周一围
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2018","31"
20,30295905,中国机长,6.6,741850,242469, 9.4%, 29.5%, 44.7%, 13.5%, 2.9%,"导演: 刘伟强
主演: 张涵予 / 欧豪 / 杜江
类型: 剧情 / 传记 / 灾难
制片国家/地区: 中国大陆
年份: 2019","29.13"
21,35051512,我和我的家乡,7,668318,211334, 12.2%, 37.8%, 39.0%, 8.9%, 2.1%,"导演: 宁浩 / 徐峥 / 陈思诚 / 闫非 / 彭大魔 / 邓超 / 俞白眉
主演: 葛优 / 黄渤 / 范伟
类型: 剧情 / 喜剧
制片国家/地区: 中国大陆
年份: 2020","28.29"
22,26260853,速度与激情8 The Fate of the Furious,7,343585,95990, 13.8%, 35.9%, 40.9%, 7.8%, 1.7%,"导演: F·加里·格雷
主演: 范·迪塞尔 / 杰森·斯坦森 / 道恩·强森
类型: 动作 / 犯罪
制片国家/地区: 中国大陆/美国/日本
年份: 2017","26.7"
23,10604086,封神第一部：朝歌风云,7.8,1112744,461885, 27.6%, 42.0%, 24.0%, 4.6%, 1.9%,"导演: 乌尔善
主演: 费翔 / 李雪健 / 黄渤
类型: 动作 / 战争 / 奇幻 / 古装
制片国家/地区: 中国大陆
年份: 2023","26.35"
24,35505100,这个杀手不太冷静,6.2,541416,206457, 3.8%, 23.1%, 53.2%, 16.5%, 3.3%,"导演: 邢文雄
主演: 马丽 / 魏翔 / 陈明昊
类型: 喜剧
制片国家/地区: 中国大陆
年份: 2022","26.27"
25,27605698,西虹市首富,6.6,1033718,285281, 10.3%, 28.6%, 43.6%, 13.5%, 4.0%,"导演: 闫非 / 彭大魔
主演: 沈腾 / 宋芸桦 / 张一鸣
类型: 喜剧
制片国家/地区: 中国大陆
年份: 2018","25.47"
26,25723907,捉妖记,6.7,544404,137041, 10.3%, 31.9%, 44.8%, 9.8%, 3.2%,"导演: 许诚毅
主演: 白百何 / 井柏然 / 姜武
类型: 喜剧 / 奇幻 / 古装
制片国家/地区: 中国大陆/中国香港
年份: 2015","24.41"
27,23761370,速度与激情7 Furious 7,8.4,483546,117745, 39.9%, 42.2%, 15.7%, 1.7%, 0.6%,"导演: 温子仁
主演: 范·迪塞尔 / 保罗·沃克 / 杰森·斯坦森
类型: 动作 / 犯罪
制片国家/地区: 美国/中国大陆/日本
年份: 2015","24.26"
